-8,59; 7,74
-8,59; 7,66
-8,55; 7,54
-8,50; 7,44
-8,44; 7,32
-8,40; 7,26
-8,31; 7,18
-8,26; 7,12
-8,20; 7,03
-8,13; 6,99
-8,08; 6,91
-7,99; 6,82
-7,93; 6,73
-7,88; 6,70
-7,82; 6,63
-7,76; 6,56
-7,68; 6,49
-7,62; 6,41
-7,53; 6,34
-7,45; 6,24
-7,42; 6,19
-7,36; 6,10
-7,29; 6,01
-7,25; 5,95
-7,21; 5,89
-7,17; 5,80
-7,14; 5,72
-7,10; 5,64
-7,06; 5,56
-7,01; 5,45
-6,98; 5,34
-6,92; 5,23
-6,86; 5,11
-6,79; 5,07
-6,79; 4,99
-6,72; 4,88
-6,69; 4,80
-6,63; 4,72
-6,55; 4,66
-6,52; 4,57
-6,46; 4,52
-6,38; 4,45
-6,32; 4,37
-6,26; 4,27
-6,19; 4,26
-6,17; 4,18
-6,12; 4,08
-6,13; 3,97
-6,13; 3,90
-6,14; 3,83
-6,14; 3,75
-6,18; 3,69
-6,20; 3,62
-6,20; 3,55
-6,20; 3,45
-6,21; 3,36
-6,12; 3,38
-6,03; 3,38
-5,94; 3,38
-5,85; 3,38
-5,77; 3,38
-5,68; 3,38
-5,59; 3,38
-5,50; 3,38
-5,42; 3,38
-5,33; 3,37
-5,24; 3,37
-5,16; 3,37
-5,07; 3,37
-4,98; 3,37
-4,89; 3,37
-4,81; 3,37
-4,73; 3,39
-4,72; 3,52
-4,72; 3,61
-4,70; 3,69
-4,69; 3,82
-4,67; 3,91
-4,67; 4,00
-4,67; 4,09
-4,66; 4,19
-4,62; 4,28
-4,63; 4,36
-4,61; 4,46
-4,60; 4,54
-4,57; 4,64
-4,53; 4,73
-4,44; 4,79
-4,36; 4,86
-4,28; 4,95
-4,19; 5,01
-4,13; 5,10
-4,07; 5,21
-4,03; 5,32
-3,98; 5,35
-3,95; 5,44
-3,92; 5,53
-3,89; 5,62
-3,84; 5,73
-3,81; 5,81
-3,75; 5,90
-3,72; 5,99
-3,69; 6,08
-3,65; 6,19
-3,63; 6,28
-3,57; 6,38
-3,54; 6,52
-3,51; 6,59
-3,48; 6,66
-3,45; 6,74
-3,42; 6,83
-3,38; 6,88
-3,34; 6,96
-3,28; 7,02
-3,27; 7,09
-3,22; 7,18
-3,19; 7,29
-3,12; 7,40
-3,09; 7,49
-3,07; 7,56
-3,01; 7,67
-2,95; 7,77
-2,90; 7,87
-2,85; 7,95
-2,89; 8,04
-2,95; 8,12
-3,03; 8,15
-3,13; 8,18
-3,22; 8,16
-3,30; 8,14
-3,36; 8,07
-3,44; 8,01
-3,48; 7,92
-3,53; 7,92
-3,56; 7,84
-3,65; 7,77
-3,68; 7,69
-3,73; 7,62
-3,74; 7,53
-3,80; 7,51
-3,81; 7,41
-3,88; 7,33
-3,92; 7,23
-3,98; 7,12
-4,03; 7,01
-4,06; 6,92
-4,12; 6,89
-4,21; 6,86
-4,30; 6,87
-4,38; 6,89
-4,47; 6,92
-4,56; 6,94
-4,66; 6,99
-4,65; 7,04
-4,73; 7,09
-4,79; 7,16
-4,87; 7,23
-4,91; 7,32
-4,95; 7,40
-5,01; 7,53
-5,04; 7,64
-5,08; 7,74
-5,06; 7,79
-5,06; 7,88
-5,08; 8,00
-5,08; 8,09
-5,08; 8,18
-5,09; 8,30
-5,09; 8,39
-5,09; 8,47
-5,09; 8,56
-5,09; 8,65
-5,09; 8,74
-5,09; 8,83
-5,09; 8,92
-5,09; 9,01
-5,09; 9,10
-5,08; 9,21
-5,12; 9,32
-5,10; 9,38
-5,12; 9,49
-5,12; 9,58
-5,12; 9,67
-5,14; 9,74
-5,13; 9,85
-5,13; 9,94
-5,13; 10,03
-5,14; 10,12
-5,14; 10,20
-5,17; 10,31
-5,21; 10,43
-5,27; 10,51
-5,36; 10,55
-5,45; 10,57
-5,53; 10,53
-5,62; 10,46
-5,65; 10,36
-5,66; 10,23
-5,67; 10,12
-5,67; 10,03
-5,67; 9,94
-5,67; 9,85
-5,67; 9,76
-5,67; 9,67
-5,67; 9,58
-5,67; 9,49
-5,67; 9,40
-5,67; 9,31
-5,67; 9,22
-5,67; 9,13
-5,67; 9,04
-5,67; 8,95
-5,67; 8,87
-5,69; 8,81
-5,69; 8,72
-5,69; 8,63
-5,70; 8,54
-5,70; 8,45
-5,70; 8,36
-5,71; 8,23
-5,73; 8,10
-5,73; 8,01
-5,75; 7,96
-5,81; 7,96
-5,89; 7,96
-5,92; 8,04
-5,98; 8,15
-5,98; 8,23
-5,99; 8,31
-6,02; 8,42
-6,05; 8,51
-6,05; 8,60
-6,05; 8,69
-6,07; 8,76
-6,12; 8,85
-6,09; 8,89
-6,09; 8,99
-6,12; 9,13
-6,15; 9,21
-6,17; 9,32
-6,21; 9,41
-6,24; 9,50
-6,25; 9,58
-6,27; 9,67
-6,29; 9,76
-6,31; 9,84
-6,32; 9,95
-6,37; 10,05
-6,36; 10,17
-6,41; 10,31
-6,46; 10,43
-6,41; 10,45
-6,50; 10,52
-6,58; 10,58
-6,67; 10,58
-6,76; 10,55
-6,84; 10,48
-6,87; 10,35
-6,85; 10,28
-6,85; 10,20
-6,85; 10,09
-6,79; 9,99
-6,78; 9,88
-6,75; 9,79
-6,72; 9,67
-6,72; 9,59
-6,67; 9,49
-6,66; 9,36
-6,66; 9,25
-6,62; 9,17
-6,60; 9,06
-6,59; 8,97
-6,59; 8,88
-6,57; 8,75
-6,55; 8,66
-6,55; 8,57
-6,53; 8,45
-6,52; 8,35
-6,52; 8,26
-6,52; 8,17
-6,49; 8,06
-6,48; 7,97
-6,45; 7,87
-6,45; 7,78
-6,45; 7,70
-6,51; 7,65
-6,59; 7,69
-6,64; 7,80
-6,68; 7,88
-6,71; 7,97
-6,77; 8,11
-6,80; 8,24
-6,85; 8,33
-6,91; 8,43
-6,97; 8,51
-7,01; 8,59
-7,06; 8,68
-7,08; 8,76
-7,10; 8,81
-7,16; 8,90
-7,17; 8,99
-7,20; 9,11
-7,26; 9,24
-7,32; 9,34
-7,35; 9,46
-7,40; 9,58
-7,46; 9,67
-7,52; 9,74
-7,61; 9,75
-7,69; 9,71
-7,75; 9,59
-7,77; 9,47
-7,77; 9,37
-7,74; 9,27
-7,70; 9,16
-7,65; 9,08
-7,64; 8,96
-7,59; 8,89
-7,58; 8,80
-7,53; 8,71
-7,49; 8,59
-7,43; 8,47
-7,38; 8,34
-7,35; 8,22
-7,32; 8,13
-7,29; 8,03
-7,22; 7,92
-7,21; 7,82
-7,18; 7,74
-7,16; 7,64
-7,13; 7,52
-7,09; 7,40
-7,04; 7,31
-6,99; 7,20
-6,99; 7,11
-6,99; 7,02
-7,00; 6,93
-7,06; 6,84
-7,15; 6,80
-7,24; 6,86
-7,32; 6,92
-7,38; 6,99
-7,46; 7,04
-7,53; 7,12
-7,62; 7,18
-7,70; 7,26
-7,78; 7,31
-7,83; 7,37
-7,90; 7,45
-7,96; 7,52
-7,99; 7,59
-8,08; 7,67
-8,12; 7,76
-8,19; 7,82
-8,28; 7,90
-8,37; 7,91
-8,46; 7,91
-8,54; 7,85
-8,59; 7,74